nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210056439566;2022;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;554,2;587,8;573,6;688,4;BDECADCEDBEBEBAADBDBCCDDEEAECBBAEDEBADCEEDECA;CBDAAAEEDECCADDBACABDBECAEDDADBACBDBEBDCDCAEC;DDBEBCABBDBEADDEABEECCEABEBACAEDBACCBABEDACCB;CBDCAAECCDBBBDABDAECCDEAEBACADDDBCEBBAAAAECAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;100;120;120;100;120;560;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210054548864;2022;19 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;504,2;667,1;620,4;642,2;DDCCDCCABAADCBDDCBCEAACBBCBBAEEACBBCADBCDEEBD;CBDAAADCEECCBDDDCEABCBECACEDADDACBEDECDABEADD;CDBEDCAAEDBDBDDCDDACECEACADDBDEBBACBDEBEDCCCC;CABCAAECBEADBBBCDCDCBBCDEEDDDCDBCBBBCCCEAEDAB;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;140;160;180;840;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 9.696,01 até R$ 10.908,00.;Não;Sim, três;Sim, três;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim;Sim, dois;Não;Sim;Sim, quatro ou mais;Sim;Sim, três;Sim
210055535126;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;619,8;650,1;635,5;717,7;DBEABCCDDBDDCAABEACCACACBDACCBBCAAEBAADBEABCD;CEDAABDDDDCBCDDADEABABCCACEAACBAABCDEABCBEACD;CDBEDCAABDBDBDDEABEACDEADADABEEEAACBACBADACCD;CBACADECBDACBEBBDEABEBEDBDCABCDBECDBCBADAECAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;180;160;160;200;860;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 6.060,01 até R$ 7.272,00.;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Sim;Sim, dois;Sim
210057392017;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;631,8;656,2;628,6;683,7;EACECACAABCCDBBBEEECBCCACBADEEEBBCECBECCDECEC;AEAEEEDBDDAEECBECDEBCDDAAADBAEDAEACCCBCDABBCA;EDABADBBACABDBBCBACCEEAECCBBBCAADDCCAEBDBDECE;BBBCABEBEEACBDEDADECCDBCBECBBDAEDCCECBECCEADD;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;200;200;200;200;940;Completou a Pós-graduação;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 5 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 8.484,01 até R$ 9.696,00.;Não;Sim, um;Sim, três;Sim, dois;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Não;Sim;Sim, quatro ou mais;Sim;Sim, dois;Sim
210056644148;2022;17 anos;Feminino;Solteiro(a);Amarela;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;486,1;425,6;367,2;555,6;ADCDCCCBCAABDCABBEECDACCAADADBCBABDBADBEEABBE;BCAEABDBCCAEACDBCAABEBBBCDCACCDACDECBADDECDDE;BABEBCACDBCBDEDAAAACCEDEAACDDBCEBAECCBCEBCDBD;CBBDAEACBDEBBEAAABDCECADCECABBEBACEECAEBDEDEB;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;100;120;80;100;120;520;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 2 (Verificar a definição no dicionário de dados);Não Sei;6;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, quatro ou mais;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Sim;Sim, quatro ou mais;Sim;Não;Sim
210055977900;2022;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;539,1;662,5;589,2;622,2;DCEBABBDBCACDBDBECCBDAEBAEAEAEBDCAEBADEABADCA;ECDABCDDBBACBCBDCAEBADACDEEDACBCDBCABBECAAADB;DECDCEDBCAAADBAAADAAACECBBDEEABACDBCCCADEECEB;BBECECAEDACBBDACAECBDAECABCEDBABCBEDEBBBACBDD;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;160;200;140;200;200;900;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210056258029;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3106200;Belo Horizonte;31;MG;Estadual;Urbana;Em atividade;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;475,8;560,1;578,8;626,6;DBECCEBDDABDDBABCBEBBBDCCBDBDDEDADDCACCDEDEBD;DBCAAACBDEBCBDDBAEDBECBCACDCADCABECDEBBDBAAEA;CDDEDCCABDDEBECEABECECEACDDABECDBACBBCABDECCA;DCDCEEBDCECDBBEEDCDBBDEDABCEDCCADEEBDBBDDECBC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;160;120;120;140;660;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Sim;Sim, um;Sim
210057781401;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;549,5;688,9;633,3;682,1;BBCDBBABDAADCECBCCAAEADCBCBEDEECCCEBADEAABADD;DBDAAADBEDBBCDDADEABCBBCAEEDADCBBBBDECBBBEACD;CDBEBCEABDBCBDACEBDEBCEADACABEEAAACBABBDDACCB;DDBBCABCBDDEBBABDAECEEDEBDCABCEDDCEBABCCBECAE;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;200;140;140;160;760;Não sei;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 7.272,01 até R$ 8.484,00.;Não;Sim, dois;Sim, três;Não;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim, um;Sim
210057494729;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;3106200;Belo Horizonte;31;MG;Privada;Urbana;Em atividade;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;532,8;552,7;568,0;608,0;DABDBABACADCCCBDBDDADCCBAEBDEBBBDCBCADBCDDCAB;AAACAABADDAEEBAEABBBCCBBAAEEBECAEACDBBCADEACE;DDBDEDDEAAABADBAAECCEEAECCBACCEABDACAACDAAEEA;DCCCCBBBECADCDCCCBEDCDCDABADBEAEDDDABECDEDADE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;200;120;140;160;760;Completou a Faculdade, mas não completou a Pós-graduação;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 14.544,01 até R$ 18.180,00.;Sim, um ou dois dias por semana;Sim, três;Sim, quatro ou mais;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210056956536;2022;17 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;431,9;572,8;580,5;508,7;BDCAADBCEDBACADABCDEBBBBCBBDCDCDEBECDEBADBDAA;CCACEADABBADDBBEBBEBADDAABACBBAAAACDBEDDBBDEC;DCBDEAEAAAABBDAABECDBACECCCBAEA*EDBCCCEDBDEAE;DCDEDADDEBACCBEACDEDEADACADCCBAEEDBEACECBAABE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;140;120;120;620;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
