nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210056274657;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;2507507;João Pessoa;25;PB;Estadual;Urbana;Em atividade;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;496,9;506,4;568,3;360,4;ABEAACCDBDACBBECABDCDBCEBDCEBBBEBABBBEBABECCD;EBADBCADBDBCEEADEADBADDBACDEAEDEDACACCBAAAEBE;DCBAADDBCADADAABADABACAEABBAECCACDACBBABEECBA;CEADEBDBAAECECBADCDCBBCDBBEEEDCDCDCDCEDBCBCAB;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;200;120;120;100;660;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;4;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Não;Não;Não;Sim
210057057773;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;2507507;João Pessoa;25;PB;Federal;Urbana;Em atividade;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;466,1;503,2;499,5;478,3;BDCACBCDACBBDDADCDCCCBDEADBCBBBAABDCBBDCACDCC;CECABADAAEABACEBAAACAEDCEBDDADDBCDCAECEADDBCB;CACEDCAABEBDEACEABDEAACBECCABBCEEACBBCBAEEBDA;BDBCDACBEBABBBBCAADBABEBBCAACADCDBDEABCCBECAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;160;160;180;860;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, dois;Não;Não;Sim
210055600707;2022;Entre 26 e 30 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2010;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;477,3;583,9;547,1;664,6;BECDBECEDAEADBEDABBBEBBCCBBAABBDACECADBDDAEDC;CECAAAADDCCABDDDCAABACDEAEADBDBABBDAEBBCBEACE;AEACAB*DDDBCBABBABACECEAEADDBEEBBACBBCBABACCD;AADCCDCABBBABEAADADEBDCCDDCABBDCBCBBAAACDEEAC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;120;20;500;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);6;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210057766927;2022;25 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;605,5;626,9;569,2;675,6;CBACDBEEECACCBCDEBCCCEEDDCADAEECBAAEDCBCBBDBA;EABEBEDDCAECBBBBCEECABACDDCDAEBDDAEABBEAAAADC;DAEAADEDBADABEAEADECECEEBABBBCAEBCBCBCABBECCB;BBEBACAEDACDAABDAACDCBAEBDCBBADECECBEDABAABAE;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;120;120;120;140;620;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);6;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210057386597;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;2507507;João Pessoa;25;PB;Estadual;Urbana;Em atividade;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;495,9;519,2;508,4;473,0;BBDCBCBDDEAECBEBCBABDDECBBBADACCACDACBDCCADAC;BBCAAABCDECEECAAACACBBACBCACABBACDCCEDDBAACCA;BCDABCAACDBDBDDACBADBAAACCDABDDCAECBCABBDBCCC;BCDBEACBADBABBDBAACACDADCEEBADDEACCEBCCDCEAEC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;140;140;120;160;160;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Não;Sim
210056304764;2022;Menor de 17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;472,7;453,3;461,3;498,1;CBACBECECAAEABCEBDDACBBDCBACEEBEADDAAEBDCCCBE;ADEDACAEAECECEEBCEADDBDEADABDEBDCCCBDACCCCDAE;AEDDECEABDEDBAABCBACCEAADEEBEBAABACAAABDDBEBD;ECCDAABCACEACEECDAEDCAB*CDEDCBCEACCEDDEAAECEB;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;80;40;80;120;60;380;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;2;Nenhuma Renda;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não
210054519568;2022;Menor de 17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;567,7;564,2;573,7;557,1;ABEDDEBBCCCCDACCBCEEDDCEADBDBDAEEEBBDDDAEADAC;CEABEDDADCB*CBBDCCEBCBBAAADEABEEDACDCBCDDADCA;ECEAAEDBABABBDEDDCCCBAEECBBACCCAADBAEEAEBEDAE;CCDCDCDBEBADACEEBBCEBBABCCDACACDDCEADCCEDAACD;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;200;160;180;200;900;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);7;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, um;Sim, quatro ou mais;Não;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Sim, um;Sim;Sim;Sim, quatro ou mais;Não;Sim, um;Sim
210055019658;2022;Entre 31 e 35 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;405,0;488,1;455,2;403,5;AED.ACEACBABAAADCADEBDEAAEBBDBBCAECCDDAACBBEA;BBAAAEEEDECACEEADEACBECAECEDEDEBAACEADECBCBEE;ADADBCADAEACACDBAEBCBEEAADAABAACEACADACAEECCD;CABCCDAAECEEDDCBBAAEDBCEBACBACDBCBCEBACECCBCA;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;80;40;40;80;40;280;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, um;Não;Sim, um;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210056411221;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;378,8;418,3;448,6;445,0;AADABCBEABBAABEBDADECDADAAAACBBDDBBDBDBAADBBA;AACBACBDACBCAADACBDBACB.ADCBADEBACBDACBCBACAE;DCCDEDCEAACBBBCADDAABBCBDAAACADAAABCCBABDBCAA;AEBCEDAACACACBCBBEDBCACADBDBCADBBCACBDABCADBC;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;100;120;80;80;20;400;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210057499023;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;2507507;João Pessoa;25;PB;Estadual;Urbana;Em atividade;2507507;João Pessoa;25;PB;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;554,8;608,3;557,6;637,9;ADBAECCDDABEDCEACDEBBADDAEEABEECBBEBACDAAAACA;CEAAAAEDD.CBAEDACEABCABCABEDBE.ABB..EAEDBAABD;ACDEACEABDADBCCBDBEAEDBAEDDDBCEAEA.BBBBDDAC..;CDECDDDCACABBEAEDBBEDACADABADBDDBCABBECADEDEC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;200;140;120;120;700;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Sim, um;Sim
