nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210056609325;2022;18 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;2800308;Aracaju;28;SE;Estadual;Urbana;Em atividade;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;485,2;488,4;472,8;481,2;BB*DEDCEBBCCEDCAEDABCBBCABBADEEEDCACBCCADEBAB;EEACBDDADCAEBBDCADBBCDDCABECEDEDEDCABEDADABDC;BDDBEEDBADCBCDEBDEEBDAADCCCECEACDAECADCCBDCBE;AECCDCEAEBEDBDBEACBAEBCBEACCBEECBADEABACCDCAA;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;100;120;100;100;120;540;Não sei;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;4;Até R$ 1.212,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210056572339;2022;Menor de 17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;602,6;566,1;553,0;707,2;DBECDCDEDCAEDEDAACCBCDBCADACBEBBDACDBAABEBEDE;EBBDACABAEECCBBCEEEDAEAADEDDEBECEDEACCEADAADE;ABDCBADDCACBDDAAADBCEDCDBAAECADABDDCACABDECBB;BEEDACAADCCDBDEDAACBCDCDBBCACDDDEDDCDABDDCBBD;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;120;100;140;140;640;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);3;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, dois;Sim, três;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim, três;Sim;Sim, um;Sim
210056783753;2022;Entre 26 e 30 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;548,4;541,4;526,9;417,1;DCDCACABCCACBBCDDBEABDDCDCECCBDACAAEAAAEEBDEC;DBBDBDDADEBCDDACEBAAADDCDEDDEBADDDCABCECAAACC;DAEAADDBCAEACC.AAADAEAEBBBDAEEEAB.BBCBAACEEDC;DDBDABAAAAABDEABACEEAACAEAAAAADAEBAABCBAAAAAD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;120;120;100;100;560;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210057279473;2022;19 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;523,1;510,0;497,7;460,7;ABCCCCBEDBEBCAEEBBABBBCCBBBDDBEAABEBABACCADCE;CBDAAEBEECCEAEBBCAABDADCECAEEAEAAADDEDBABBDEA;BECEACCCCDEEBACACAECEAEACAEEBEECCADDDAADDACBD;ECEDCDEDECBBBBACABAEADAEAAAAADDBEABEDCDAEEAEC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;120;120;180;120;700;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim, três;Não;Sim, um;Sim
210055210042;2022;17 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;540,8;579,9;530,2;565,2;ABBCCCEDBCEABECBEACCDDDBACEEBEAEADBEAEDCBACEB;EBEABCDDAAECBABDCEDEACADAAADACADDAAABBBBAAEEC;AAEEBDDBBACACDAABDADEEADBEAAADAADDECCDADEECBB;BEECACACCBCAACBBCDCCDEBCCDBBBAACDCEBEBABCBBDD;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;200;160;120;100;700;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210055063185;2022;22 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;635,9;634,3;585,2;784,2;CCECECEBDDAEBACDABCCBBCEDBACBEEEEABCAADBDADEE;EAEABCDDBACBBBBBCAEEAEACDEDDBBBCDAEABCEEAAAEC;DBCDBDDBCAEAEECAADCCECECBEDACBAABBBCCDDCDECBA;BEECACABDCCEBDEEDAAAEDCECCCBDBDBBDECDDCABCDDA;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;160;200;200;200;160;920;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 12.120,01 até R$ 14.544,00.;Não;Sim, três;Sim, quatro ou mais;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Não;Sim, quatro ou mais;Sim;Sim, dois;Sim
210054931054;2022;21 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;417,7;538,3;568,6;496,2;ABDACCDCDCDCBBCACBCEDDCDECACABBCBEEAECECBDBCC;EAAABCDADDECBDACEEEEBCADCCADAAACAAEAEBBDEAADD;DEEAADBBBADACEADEDCBECECDCBACCEADDBCDCAAEEDBB;BEBCBBDBEBCCECCDEDABCDCCCDBCCADDCABCDCCEBCDDE;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;140;160;120;140;140;700;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);6;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210055156968;2022;21 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;618,1;671,5;581,4;568,7;EBCDECCEADCCCABDECECAECAACBDEBCABEBBBCDDEACED;AEABEEDAADAAECBEAAECCDDAAADCABDAEAADDBCDEBECA;DABDEEACADABCDBCBACDBAEECCCBDDAEBDBBAEADBEEAE;BBDBCCBBDCACCDBBCACDCDCBCBBBBEABCCBCECCDCBCED;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;160;160;160;160;800;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, dois;Não;Sim, dois;Sim
210057597866;2022;Entre 26 e 30 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2013;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;614,6;624,7;618,1;595,2;CCCCDCAAECACBBBBADDACBECDDEDBEEDDADBEABEBBDDB;EBAEBCDDCAEBBBABCADEACACDEEDBEBCDACABDEDABADC;DDCDBDABCAEBDAAAADACECEEBECECBAABDECCDABEECBD;BAEDADDDDACBBAEABDAEBDACDBDCBDEBBBCDDDBDBBCDB;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;180;140;160;160;760;Não completou a 4ª série/5º ano do ensino fundamental;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, dois;Sim;Sim, um;Sim
210056805063;2022;23 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2017;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2800308;Aracaju;28;SE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;681,9;709,2;737,1;821,3;BBCBBECDDAADAAABEBDBCAEBECABCDEDADABAADCEACCD;CEDAAADBAECBCDDBAEABCBECACEDAEDAEBDDEADABEACD;CDBEDCAABDBDDEDCABEBECEABECABEEADACBBCBADCCCC;CBCCDECCABCCBEABDDDBBDDDBADCACEADCEBDBDAAECAD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;180;200;180;200;200;960;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, três;Sim, quatro ou mais;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Sim;Sim, dois;Sim
