nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210055396398;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;4113700;Londrina;41;PR;Estadual;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;460,0;482,5;482,5;443,0;ECEECECBCBDCEDDDBAEBACEACDBAEEBEBEDEABCECDABE;BEAABCCABDABABDBDACBEADBAEAABBDBDBCEEDCCABBBC;EABADEEEAEACDDACBDABABCECCCBCDEABAACACBECDEBD;AADDACCEACDACDEEBEDDEEDCCEAABCCCEDEBDBBACEBDC;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;120;80;100;80;520;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 1 (Verificar a definição no dicionário de dados);Não Sei;3;De R$ 1.818,01 até R$ 2.424,00.;Sim, um ou dois dias por semana;Sim, três;Sim, três;Sim, dois;Sim, dois;Sim, dois;Sim, um;Sim, dois;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210056624611;2022;Entre 26 e 30 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2010;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;496,6;562,0;444,2;479,8;BDCCCCAADAEBCEBADBACEBBEDDACDCBDABEBADDAAAEDA;EEACCADECEACADDADEAAABECABADEEEBEECDEBEDBBADA;ABCBEAEBBBABDDDBBAADEEAACCABBBBCBADABCBCDCCED;DDBEBEEBEABBBEEBCDEDCBDBBAABAEEECDEEDCDBEEEEE;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;140;120;620;Não completou a 4ª série/5º ano do ensino fundamental;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Não Sei;Não Sei;2;Até R$ 1.212,00;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Não;Sim;Não;Sim
210057144508;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;499,5;527,1;512,2;589,0;DDDCAECCBAECDADCBBEBEEDAEEDCDBDAACECCBDCEBBCC;DEDEAAEBDDCDACEABCACBACBACDADDBABBCDEBAABCABA;DCDEBBCA*DDDBDDEAAACECABAAEABEDEBACBBBAADEACB;BCCDBAEBAABCBBDDDCBCDCCDBACEDCEAECBECCCDDBAAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;140;100;600;Não sei;Não sei;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;6;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210056897944;2022;20 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;408,9;421,7;412,5;389,4;CBDECDCABCCBCEABADACBBAACEBCCBBEEDBCBECAEBDBC;CAADACCB.DEBDCBABC.EDCBCAABECDEABCABEDCACEBCD;ECEDBBDEAABAACCBECCDDAADCCEABBCBDBBBAEDCABBDE;DBCDEABCDCAEBCDAEBDCBADEEABBCDECACAEDBCBDCAEE;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;80;100;120;40;480;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, dois;Sim, dois;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Sim;Não;Sim, três;Não;Sim, dois;Sim
210057368415;2022;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;4113700;Londrina;41;PR;Privada;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;603,8;579,6;566,7;533,0;DCCBDDADDAEBDBEDCEA.CABDBCAADCDDEDBBAADCEBDCD;EBAAAAABDECEAADDDEABCADEECBDBEBABECCEABEBBABD;CDBEDAAABEEDCADCBEAEECECEDDDBAEBBACBBABDBABCC;BEABDADEBDDCBBABCDADDDDADCDABDADCCDBDDDADBDDD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;140;200;160;200;140;840;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210055277292;2022;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;596,1;524,3;555,9;501,0;CDEBAECEDAEDBBACEBACDABDBBAEACDCDCEBBDAABACAD;CEDACEBCEDCEBAEBACABCADCACDCEDBADBCDBCAABCDCD;AECEACABEDBEEECEABEBECEBCEBADDEEBACBBBDADACCE;EAABDCEBADCBBECBDCEACDAECBDEBEDEECBDACABEDEAC;Espanhol;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;100;120;580;Não sei;Completou a Pós-graduação;Não Sei;Grupo 5 (Verificar a definição no dicionário de dados);7;De R$ 3.636,01 até R$ 4.848,00.;Não;Sim, quatro ou mais;Sim, quatro ou mais;Sim, dois;Não;Sim, um;Sim, um;Sim, três;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Sim, três;Sim
210055676905;2022;17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;525,6;543,7;584,2;621,7;EDEADEBCEACDABBCADDCDACAABBBECECAEADCEDECAACD;AEABCADAEBADBBBCAEABEDDDAABDCBCAADCEBECEAADEE;DDBAEEAAABABCDEBBDCCBEEECEBBDBCADDACAABDBDEBA;AABAECBEECACACCDDADEEACBCDBCBEACDABCEBEBCDECE;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;180;100;120;160;680;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);7;De R$ 7.272,01 até R$ 8.484,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, dois;Sim, um;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210056897107;2022;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;501,6;644,4;578,1;603,9;DBDCCDCABBECDAEBCDEBBECBACAEEEABBDDCAECCDADBE;DEABCADBDBACBCEEBCABDDDAAADBCEDADACDBBCDCCECA;EDAAAEBBACACBDEABACBBAEECCBBCEDEADADBEEBBDCCC;DACCAADEEDACEBBCACEBBCDEADDBBEACDBEBCDDDABECA;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;200;140;180;140;800;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.212,00;Não;Sim, um;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim;Sim, um;Sim;Não;Sim, um;Não;Sim, um;Sim
210055590041;2022;21 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;529,9;507,7;549,0;477,7;ECDDCEBDDBECCDEBBBAEBCCECACACCBACBABADDDCEABC;ACAACACADDADDABECAEBEBEAAAECABDADCAADEADDCDEA;DCDDCACBADDCEDECBACBBECECCBBDDACEDCDAEAD.DCCE;BBCADCEEEDEDEBADCEEEBAACCBEBEDBCEEDBABDBCAECA;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;140;120;120;120;100;600;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Sim;Não;Sim, quatro ou mais;Sim;Sim, um;Sim
210057706864;2022;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;4113700;Londrina;41;PR;Privada;Urbana;Em atividade;4113700;Londrina;41;PR;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;616,6;595,0;614,5;768,2;EEDACACEABCCDABDAEAEECCEABCBCDEBDCDABBBEEADBD;DEABCEDAEDADECBCBABBAEDAAAECAECAEECAEBAABBCCE;DCDDEEABADBBBDBCAACEBABECCBDDCAACDBCAAEDBAECE;ABBAACEBEDADCCEAADECACADABBABEAEDCCDDADCECAAC;Inglês;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;160;180;140;140;140;760;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);5;De R$ 10.908,01 até R$ 12.120,00.;Sim, um ou dois dias por semana;Sim, três;Sim, quatro ou mais;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Sim;Sim;Sim, quatro ou mais;Sim;Sim, um;Sim
