nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210054569514;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3550308;São Paulo;35;SP;Estadual;Urbana;Em atividade;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;397,3;429,7;433,4;359,7;ACDBABDDECDACBCACDBABDACEABDEBBAEDABEECABEDAA;BEDBBCAADCECADABCEDABDBCBAABEAEDBCAEBABCEBECB;CBEEBBDBCADAECDABDACBCABDCBDAAEBBABEADBECBECA;CECAEABDCEBCEBADBEBCDACABEACBECDBBBCCADEBADCA;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;120;100;80;120;540;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, dois;Sim
210057256369;2022;Menor de 17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Privada;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;524,0;527,6;566,9;592,6;BEDBCECBCAABBEACCBDCDDEEBBAAABEDCDECDCBDDBDCC;CBDACEEEDDCBAEDBDCABBECEECDCACDBEBBDEDBEBADCE;CDBEDAADCDBDBCDACDEABDCADBCECEEADADBDCBCDDBCC;DDBBDCCDDACDBEAADDADCCAADEBCDCCCBCDDBBDACECCD;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;120;120;120;120;160;640;Não sei;Completou a Pós-graduação;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Sim;Sim, dois;Não;Sim, um;Sim
210055979676;2022;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2022;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;460,2;483,5;502,2;502,6;DCBBDACDEADBBEABDBEDBADBABCCDBBDCABCECBBBCDCE;ABCCAACCADBABCDBEDADABAEBBADABECBDDDEBEBBDCBD;EBCDACAADDBEAADBEAACBDEADDBEABEBBACBBCAADBCCD;BBEDBEADADBBAECEADDABCBDDCAADEEBDCDEACDBBEDAC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;140;160;120;140;120;680;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);5;De R$ 4.848,01 até R$ 6.060,00.;Não;Sim, três;Sim, quatro ou mais;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim;Sim, quatro ou mais;Não;Sim, quatro ou mais;Sim
210056999838;2022;24 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2015;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;474,7;606,4;578,0;558,9;EBDABDCADDECEAABCCBABEEEABCBEEDBDDBADBADDBCBB;DEACCADAEBAAECBECBEBCDDEAEDDCDCAE*BDEDCBABDEA;ECCBAEDAADACBDEEBDCCDAEECCBACAAABDADACAEBDECE;BDBDECCDEBACDCBDADEBCBADBAECABEBADCCBADECABDC;Espanhol;EACDDEBEACCCDABCEECBBCCAEBEDABEADBADDCBDDAAEB;DEABEEDAEBAAECBECBABCDDAAADBCEDAEACDBBCDCBECA;DCBDEEDCAAEAAACABBDBEBACCBEEECCBBDCAAADCCABEDBDECE;DBAAACEBEDAECCBECDEECBDCABECBEABDDCCDBDXCBAAC;Sem problemas;120;120;120;120;80;560;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 4 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Sim;Não;Sim
210055881299;2022;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3550308;São Paulo;35;SP;Privada;Urbana;Em atividade;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;493,3;532,7;517,1;589,9;AACAABACBBBDABBCBCDCDDCAEDADDEAEEABBBCDEEEACD;EBCCBAEDBAECABADEEDCADDCAAADADBCEACACDEDDAAAD;CCEAAADBCADAEAAACDADEEEAEEAECABACDEBDEAEEEDDA;BEEADBAEDCCDDBDDDCECEDCEBDABCDBEBECBBCCCCBBCA;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;120;100;100;120;80;520;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Não;Sim
210056107746;2022;18 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3550308;São Paulo;35;SP;Estadual;Urbana;Em atividade;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;490,5;552,9;557,5;587,2;CDDDBEDDDEEBECECBCEADDBAAADACBECCCEBABBCDBACC;CBDAAABBDDBABDDADCACABBCEAAABEBBCECBECECBDACA;CDBEDCAEDABDBAAAAAAACCAAEDCCBCEDEACBBCABBBCCB;CDAAEDEBBEBDBCACDDBCDCAEADBADCEBDBDEABCCCEBCC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;180;180;200;920;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 2.424,01 até R$ 3.030,00.;Não;Sim, um;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não
210056014405;2022;25 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2014;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;607,2;623,3;582,3;669,3;DCACDCAECBACEEDECBDC.AEBBDABBAEECCBBABBCBEDBC;DBBCBCDDAEECBCBBEAEBADCCDEDDABBEDCEABEBCAAAAB;DEDDBADBBABADDAAADBDAAEBBDBEAABABDBCBEABBECCA;BBECACABDACCBDEACACAADBACDAAAAEBEEEEAAEBEEBED;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;100;180;120;180;140;720;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);3;De R$ 1.818,01 até R$ 2.424,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Não;Sim;Sim, três;Não;Sim, um;Sim
210055935885;2022;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;537,5;336,8;360,7;455,6;DEACECAADEEAECDEBDCBBDEDDEDCBEACAABDEEEEBEDAB;DCEDDBDACABAEBDCDCCEBAADAADACEEACADBADEBBBCBB;AEDDBECDCDEBECAEDBBABDDDECAECCADDDEBBCCCCDDBB;CDECBDACDADECDCBDEECDDDEBCEBDEEEACCBBCDDBDEAC;Espanhol;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;80;120;80;80;80;440;Não sei;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 5 (Verificar a definição no dicionário de dados);5;Até R$ 1.212,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210057907646;2022;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;3550308;São Paulo;35;SP;Estadual;Urbana;Em atividade;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Rosa;Rosa;Rosa;481,2;528,9;575,5;583,7;BDBADCCEDEEAADBBABAEEDCBBCDAACEADCDCDDDADEECC;ABDDAEDBAECECCDDCCACDEEEBBDDAADACEDDEAABBCDBA;DBBEDAEEDDBDBDEBDBACCCEACACABCEAAACBCBEEDCCCC;EDACAECEDDCCBEACDDCAADBBEBEBCCDCABBEBAACEEDEC;Inglês;DDCBBCCDDAADBAABEDABCEEAEBAEBECBDDEBEACCEACCD;CEDAAADBAECBCDDADEABCBECAEEDAEBABBCDECBABEACD;CDBEDACDEACAABDBDBDDCABEEECEABECABEEAAACBBEBADCCCC;CCCCBXCBABECBEABDDDBDECDBDCAACEECCEBDBAAAEDAE;Sem problemas;160;200;160;160;200;880;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 3.030,01 até R$ 3.636,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Sim;Sim;Sim, três;Não;Sim, um;Sim
210057452526;2022;18 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2022;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3550308;São Paulo;35;SP;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Amarela;Amarela;Cinza;435,4;345,1;340,1;541,5;ACEBECABBDBABCAEBAEDABCBBEADBBACEDCBBCECDECDA;DEDAAAEBDEBBDEDADCABEBDCACEDBECBCBCDECCBDAACA;BEDBBCEAACCACDCEABACBDEBDCADBCECAABBBBDADACCB;BADEABABABCBEADCADEAEDBABCDBCDDBCDBCBACEABADC;Inglês;DDECDBEACCAEBEAEBBCCDDCBDDACBEACEABCEABEDADBA;ECBABCDDAAECBCBECAEBAEACDEEDABBCDDEABCEDAAADB;DECDBDCEAADDBCABEDCAAADCCECEEBABEEAAABDBCCCABEECBB;BEEDAEABDDCEBDBAAAAACXCBCCCBCCDBDEECBDCABEECD;Sem problemas;80;60;60;100;40;340;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Não Sei;3;De R$ 1.212,01 até R$ 1.818,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
